dt,code,price_open,price_close,price_highest,price_lowest,trade,trade_amount,amplitude,rise,amount_increase_decrease,turnover_rate,stock_code,stock_name
2026-01-06,002232,19.0,20.28,20.85,18.93,338699.0,681896184.46,10.11,6.74,1.28,8.29,002232,启明信息
2025-12-29,002254,9.89,10.27,10.36,9.78,307082.0,312586460.81,5.9,4.48,0.44,3.75,002254,泰和新材
2026-01-06,002256,3.51,3.78,3.86,3.49,2462607.0,925227095.02,10.54,7.69,0.27,12.62,002256,兆新股份
2026-01-05,002259,3.79,4.16,4.16,3.79,268851.0,109658174.72,9.79,10.05,0.38,3.57,002259,升达林业
2025-12-29,002261,31.88,33.77,33.77,31.86,1773446.0,5874540000.16,6.22,10.0,3.07,15.48,002261,拓维信息
2025-12-30,002261,34.0,34.17,34.88,33.84,2030691.0,6961022086.96,3.08,1.18,0.4,17.73,002261,拓维信息
2025-12-26,002268,18.48,20.33,20.33,18.46,855688.0,1708586544.01,10.12,10.01,1.85,10.12,002268,电科网安
2026-01-06,002286,8.98,9.87,9.87,8.96,314231.0,299544862.56,10.14,10.03,0.9,8.5,002286,保龄宝
2025-12-08,002295,12.51,13.63,13.63,12.2,438566.0,559768191.73,11.54,10.01,1.24,17.52,002295,精艺股份
2025-12-29,002296,11.0,11.44,11.63,10.86,299387.0,339233214.19,6.96,3.34,0.37,8.62,002296,辉煌科技
2025-12-30,002296,11.32,11.69,12.3,11.2,493786.0,574494841.76,9.62,2.19,0.25,14.21,002296,辉煌科技
2025-12-15,002318,26.26,26.63,27.14,26.26,271667.0,728433822.61,3.4,2.98,0.77,2.84,002318,久立特材
2025-12-15,002319,10.2,11.0,11.55,9.81,322878.0,356544419.95,16.57,4.76,0.5,16.14,002319,乐通股份
2025-12-18,002322,11.62,12.21,12.41,11.57,103027.0,124554515.58,7.21,4.81,0.56,2.82,002322,理工能科
2026-01-05,002322,12.01,12.59,12.88,12.0,156341.0,197845373.0,7.33,4.83,0.58,4.28,002322,理工能科
2025-12-25,002324,14.36,14.64,14.92,13.93,615313.0,897128870.47,6.87,1.53,0.22,7.93,002324,普利特
2025-12-09,002329,3.94,4.3,4.3,3.81,912920.0,379282145.99,12.53,9.97,0.39,14.04,002329,皇氏集团
2025-12-09,002334,8.6,8.84,8.97,8.57,375753.0,331602467.11,4.63,2.31,0.2,5.12,002334,英威腾
2025-12-09,002339,8.32,9.04,9.04,8.29,459028.0,409551320.31,9.12,9.98,0.82,9.59,002339,积成电子
2025-12-26,002342,7.65,8.17,8.42,7.49,2335123.0,1909028759.25,12.16,6.8,0.52,24.46,002342,巨力索具
2025-12-26,002346,20.01,20.49,21.03,19.62,195036.0,398067533.02,7.19,4.43,0.87,4.96,002346,柘中股份
2025-12-29,002347,9.71,10.23,10.23,9.55,1617145.0,1637840573.47,7.31,10.0,0.93,32.78,002347,泰尔股份
2025-12-30,002347,9.21,11.25,11.25,9.21,2174720.0,2278705314.23,19.94,9.97,1.02,44.08,002347,泰尔股份
2025-12-10,002350,8.69,9.18,9.4,8.63,467281.0,426091243.19,8.83,5.28,0.46,8.81,002350,北京科锐
2025-12-18,002355,5.86,6.25,6.25,5.81,756761.0,467114078.59,7.75,10.04,0.57,12.24,002355,兴民智通
2025-12-19,002355,6.13,6.43,6.75,6.07,1151657.0,739135715.48,10.88,2.88,0.18,18.63,002355,兴民智通
2025-12-19,002361,7.7,8.17,8.17,7.61,2507052.0,1986361029.47,7.54,9.96,0.74,30.98,002361,神剑股份
2025-12-31,002362,20.93,21.64,21.8,20.91,101556.0,217878464.07,4.27,3.74,0.78,4.89,002362,汉王科技
2026-01-05,002362,21.59,22.48,22.57,21.34,136979.0,303098154.82,5.68,3.88,0.84,6.6,002362,汉王科技
2025-12-12,002366,7.31,7.79,8.0,7.19,2053840.0,1569832232.96,10.95,5.27,0.39,16.35,002366,融发核电
2025-12-31,002367,7.98,8.06,8.15,7.83,408912.0,327284572.04,4.15,4.54,0.35,5.15,002367,康力电梯
2026-01-06,002373,11.89,12.88,13.05,11.86,1127772.0,1414001448.56,10.01,8.33,0.99,8.19,002373,千方科技
2025-12-26,002375,3.78,3.87,4.0,3.78,307824.0,120232599.64,5.8,2.11,0.08,2.32,002375,亚厦股份
2026-01-08,002380,28.74,29.56,30.27,28.74,176166.0,520181195.2,5.52,6.6,1.83,12.43,002380,科远智慧
2025-12-15,002382,5.31,5.72,5.72,5.31,249718.0,141051004.37,7.88,10.0,0.52,2.5,002382,蓝帆医疗
2025-12-16,002383,10.1,10.62,10.9,9.72,1217278.0,1280376807.79,11.91,7.16,0.71,16.44,002383,合众思壮
2025-12-23,002394,14.8,16.02,16.02,14.7,397607.0,630012167.41,9.07,10.03,1.46,12.3,002394,联发股份
2025-12-30,002403,12.41,12.9,13.24,12.35,121381.0,155833280.8,7.14,3.53,0.44,4.08,002403,爱仕达
2026-01-07,002418,4.95,5.14,5.36,4.92,1898532.0,961171985.39,9.0,5.11,0.25,16.71,002418,康盛股份
2025-12-10,002419,5.53,5.74,5.95,5.51,844116.0,481324022.78,8.06,5.13,0.28,7.22,002419,天虹股份
2025-12-15,002420,7.03,7.49,7.55,7.03,252721.0,187139386.5,7.41,6.7,0.47,6.32,002420,毅昌科技
2025-12-11,002425,4.08,4.14,4.24,3.93,1037780.0,422691536.06,7.6,1.47,0.06,10.85,002425,凯撒文化
2025-12-24,002426,3.3,3.51,3.61,3.3,4240458.0,1503042103.24,9.45,7.01,0.23,12.46,002426,胜利精密
2026-01-15,002427,7.36,7.68,8.01,7.23,1170888.0,882108194.18,10.64,4.77,0.35,11.89,002427,尤夫股份
2025-12-12,002438,14.65,16.12,16.12,14.6,368312.0,574979874.6,10.38,10.03,1.47,7.86,002438,江苏神通
2025-12-12,002448,11.09,11.76,11.98,11.03,416019.0,482532557.65,8.59,6.33,0.7,9.13,002448,中原内配
