code,industry,industry_detail
SH600029,机场航运,航空运输
SZ301622,金属新材料,磁性材料
SZ002900,化学制药,化学制剂
SZ301099,其他电子,其他电子
SH688118,软件开发,垂直应用软件
SZ300017,IT服务,IT服务
SZ003020,化学制药,化学制剂
SH600315,美容护理,化妆品
SH601975,港口航运,航运
SZ300277,其他电源设备,其他电源设备
SZ301526,建筑材料,玻璃玻纤
SZ300254,化学制药,化学制剂
SH688326,软件开发,垂直应用软件
SH688765,生物制品,血液制品
SH688373,化学制药,化学制剂
SZ301571,军工电子,军工电子
SZ002080,建筑材料,玻璃玻纤
SH603958,服装家纺,鞋帽及其他
SH600184,军工装备,地面兵装
SH603679,光学光电子,LED
SH688045,半导体,模拟芯片设计
SH688292,通信设备,其他通信设备
SH603198,白酒,白酒
SZ002876,光学光电子,面板
SH603220,通信服务,通信工程及服务
SZ001216,家居用品,其他家居用品
SZ301046,建筑装饰,基础建设
SH603936,元件,印制电路板
SZ000917,文化传媒,广告营销
SZ300907,电机,电机
SH688670,生物制品,疫苗
SH600010,钢铁,普钢
SZ300456,半导体,集成电路制造
SH688041,半导体,数字芯片设计
SH688372,半导体,集成电路封测
SH688223,光伏设备,光伏电池组件
SZ301281,化学制药,化学制剂
SZ002990,计算机设备,其他计算机设备
SZ300373,半导体,分立器件
SH603129,汽车服务及其他,其他运输设备
SZ300672,半导体,数字芯片设计
SZ001333,塑料制品,合成树脂
SH688237,军工装备,航空装备
SH603045,电网设备,输变电设备
SH605060,通用设备,其他通用设备
SZ301398,汽车零部件,车身附件及饰件
SZ002478,钢铁,特钢
SH688105,生物制品,其他生物制品
SZ300830,软件开发,垂直应用软件
SH688001,专用设备,其他专用设备
SZ002073,专用设备,其他专用设备
SH601168,工业金属,铜
SH603355,小家电,小家电
SH688662,其他电子,其他电子
SZ002773,生物制品,其他生物制品
SZ301498,农产品加工,宠物食品
SZ000823,元件,印制电路板
SZ300206,医疗器械,医疗设备
SH688690,化学制药,原料药
SZ002536,汽车零部件,底盘与发动机系统
SZ301090,塑料制品,其他塑料制品
SH603203,自动化设备,工控设备
SZ301225,汽车零部件,底盘与发动机系统
SZ300404,医疗服务,医疗研发外包
SZ300490,其他电源设备,其他电源设备
SZ300442,通信服务,通信应用增值服务
SZ300705,化学制药,化学制剂
SZ300115,消费电子,消费电子零部件及组装
SZ301628,元件,印制电路板
SH603326,家居用品,定制家居
SH601111,机场航运,航空运输
SH688345,电池,锂电池
SZ301111,中药,中药
SZ002008,自动化设备,激光设备
SZ300016,化学制药,化学制剂
SH603112,白色家电,家电零部件
SH688805,医疗器械,医疗设备
SZ300988,专用设备,其他专用设备
SH688233,半导体,半导体材料
SH688580,医疗器械,医疗设备
SH600276,化学制药,化学制剂
SH688319,生物制品,疫苗
SZ002627,旅游及酒店,旅游综合
SH603219,小家电,小家电
SH688683,电子化学品,电子化学品
SZ300032,消费电子,消费电子零部件及组装
SH688613,医疗器械,医疗耗材
SH688800,其他电子,其他电子
SH688185,生物制品,疫苗
SZ300418,游戏,游戏
SZ002107,中药,中药
SZ300843,消费电子,消费电子零部件及组装
SZ300609,IT服务,IT服务
SH605228,汽车零部件,车身附件及饰件
SZ300642,医疗器械,体外诊断
SH600613,化学制药,化学制剂
SZ301266,光伏设备,光伏辅材
SZ300564,建筑装饰,工程咨询服务
SZ002072,贸易,贸易
SZ301363,医疗器械,医疗设备
SZ300464,互联网电商,互联网电商
SZ301630,电子化学品,电子化学品
SH688097,自动化设备,其他自动化设备
SZ300930,金属新材料,其他金属新材料
SZ301196,塑料制品,其他塑料制品
SH600330,电子化学品,电子化学品
SZ300171,医疗器械,医疗设备
SH688020,电子化学品,电子化学品
SZ301301,化学制药,原料药
SZ002203,工业金属,铜
SZ301086,消费电子,消费电子零部件及组装
SH600894,专用设备,楼宇设备
SH688515,半导体,模拟芯片设计
SZ002235,造纸,造纸
SH603358,汽车零部件,其他汽车零部件
SH600895,房地产,产业地产
SZ000338,汽车零部件,底盘与发动机系统
SZ300975,其他电子,其他电子
SH601899,贵金属,贵金属
SZ002463,元件,印制电路板
SH688496,光学光电子,面板
SZ000425,工程机械,工程机械
SH688213,半导体,数字芯片设计
SZ301333,医疗服务,医疗研发外包
SH688150,电子化学品,电子化学品
SH688639,化学制品,食品及饲料添加剂
SZ002422,化学制药,化学制剂
SZ301449,其他社会服务,专业服务
SZ000089,机场航运,机场
SH688220,半导体,模拟芯片设计
SH688512,半导体,模拟芯片设计
SH688189,化学制药,化学制剂
SZ301207,生物制品,疫苗
SH688699,半导体,模拟芯片设计
SH600593,旅游及酒店,人工景点
SH600309,化学制品,聚氨酯
SZ300449,计算机设备,安防设备
SH600730,教育,教育
SH600731,农化制品,农药
SH600810,化学纤维,其他纤维
SZ301248,IT服务,IT服务
SZ000977,计算机设备,其他计算机设备
SH603716,医药商业,医药流通
SZ300378,软件开发,横向通用软件
SH603085,汽车零部件,车身附件及饰件
SZ002580,电池,其他电池
SZ300661,半导体,模拟芯片设计
SH688079,光学光电子,光学元件
SH688648,通用设备,其他通用设备
SH605111,半导体,分立器件
SZ002636,元件,印制电路板
SZ301277,化学制药,原料药
SH600603,物流,物流
SH688788,军工电子,军工电子
SH688689,半导体,分立器件
SZ002785,建筑材料,其他建材
SZ000936,化学纤维,涤纶
SZ002317,中药,中药
SH600557,中药,中药
SH603773,光学光电子,面板
SZ300243,塑料制品,其他塑料制品
SZ300571,通信服务,通信应用增值服务
SH603920,元件,印制电路板
SZ300233,化学制药,化学制剂
SZ000552,煤炭开采加工,煤炭开采
SZ300440,IT服务,IT服务
SZ002734,农化制品,农药
SZ002382,医疗器械,医疗耗材
SZ301060,医疗服务,其他医疗服务
SZ301235,医疗服务,其他医疗服务
SH603757,通用设备,其他通用设备
SH600577,电网设备,线缆部件及其他
SZ300260,包装印刷,包装
SZ300342,白色家电,家电零部件
SH600710,贸易,贸易
SH688535,半导体,半导体材料
SZ000596,白酒,白酒
SZ300871,养殖业,动物保健
SH603256,电子化学品,电子化学品
SH688179,化学制品,其他化学制品
SZ300606,通用设备,磨具磨料
SZ300548,通信设备,通信网络设备及器件
SH601233,化学纤维,涤纶
SH688170,自动化设备,激光设备
SZ300798,化学制品,纺织化学用品
SZ001233,汽车零部件,轮胎轮毂
SZ002345,服装家纺,饰品
SH688361,半导体,半导体设备
SZ001326,光学光电子,LED
SZ300043,游戏,游戏
SH688006,电池,锂电专用设备
SH600846,建筑装饰,工程咨询服务
SZ300724,光伏设备,光伏加工设备
SH688315,医疗服务,其他医疗服务
SZ002605,游戏,游戏
SH601208,塑料制品,膜材料
SZ000703,石油加工贸易,石油加工
SZ300003,医疗器械,医疗耗材
SZ300502,通信设备,通信网络设备及器件
SZ000506,贵金属,贵金属
SZ300244,医疗服务,其他医疗服务
SZ301533,专用设备,农用机械
SZ301221,汽车零部件,汽车电子电气系统
SZ300738,通信服务,通信应用增值服务
SZ301172,IT服务,IT服务
SZ002025,军工电子,军工电子
SH688322,光学光电子,光学元件
SH688021,汽车零部件,其他汽车零部件
SH603897,电网设备,线缆部件及其他
SH688661,消费电子,消费电子零部件及组装
SZ300494,游戏,游戏
SH688426,医疗器械,体外诊断
SH688141,半导体,模拟芯片设计
SZ301027,建筑装饰,工程咨询服务
SH601886,建筑装饰,装饰园林
SH603663,非金属材料,非金属材料
SZ301085,IT服务,IT服务
SZ301233,汽车零部件,底盘与发动机系统
SZ301293,医疗服务,医院
SZ301169,其他社会服务,专业服务
SH603308,通用设备,金属制品
SH600409,化学原料,纯碱
SH688111,软件开发,横向通用软件
SZ300562,医疗器械,医疗设备
SZ000710,医疗服务,其他医疗服务
SH688628,通用设备,仪器仪表
SZ002063,软件开发,垂直应用软件
SZ002290,白色家电,家电零部件
SZ002448,汽车零部件,底盘与发动机系统
SH601611,建筑装饰,基础建设
SZ000700,汽车零部件,车身附件及饰件
SH600066,汽车整车,商用载客车
SZ002364,其他电源设备,其他电源设备
SZ301618,化学制品,纺织化学用品
SH603699,通用设备,金属制品
SZ300583,化学制药,原料药
SZ001328,美容护理,个护用品
SZ300673,农产品加工,宠物食品
SZ301193,家居用品,其他家居用品
SZ002323,建筑装饰,专业工程
SH688316,IT服务,IT服务
SZ002826,化学制药,化学制剂
SH688083,软件开发,垂直应用软件
SZ301018,通用设备,制冷空调设备
SH603811,化学制药,化学制剂
SH603608,服装家纺,鞋帽及其他
SZ300682,IT服务,IT服务
SZ300593,其他电源设备,其他电源设备
SH603186,元件,印制电路板
SZ300196,建筑材料,玻璃玻纤
SH688711,半导体,分立器件
SZ000921,白色家电,空调
SH605183,橡胶制品,炭黑
SZ300566,光学光电子,光学元件
SZ300900,军工装备,航空装备
SZ300935,软件开发,垂直应用软件
SZ002400,文化传媒,广告营销
SZ002906,汽车零部件,汽车电子电气系统
SZ002243,美容护理,化妆品
SH688508,半导体,模拟芯片设计
SH688008,半导体,数字芯片设计
SZ300435,专用设备,能源及重型设备
SZ300434,化学制药,化学制剂
SZ301607,汽车零部件,汽车电子电气系统
SH688276,生物制品,疫苗
SZ301097,医疗器械,医疗耗材
SZ301259,环境治理,综合环境治理
SZ300223,半导体,数字芯片设计
SZ002353,专用设备,能源及重型设备
SH605189,纺织制造,印染
SZ300811,金属新材料,磁性材料
SZ300111,化学制药,化学制剂
SH688419,专用设备,其他专用设备
SZ300395,军工装备,航空装备
SH600370,化学纤维,涤纶
SH600563,元件,被动元件
SZ301051,消费电子,消费电子零部件及组装
SZ002733,电池,其他电池
SH688777,自动化设备,工控设备
SH603402,旅游及酒店,旅游综合
SZ002488,汽车零部件,轮胎轮毂
SH603998,中药,中药
SZ300890,电池,电池化学品
SZ300577,服装家纺,鞋帽及其他
SZ300303,光学光电子,LED
SH688600,通用设备,仪器仪表
SH600054,旅游及酒店,自然景点
SH600071,光学光电子,光学元件
SH601595,影视院线,影视院线
SZ002793,化学制药,化学制剂
SZ002328,汽车零部件,其他汽车零部件
SZ000408,农化制品,钾肥
SH603297,光学光电子,光学元件
SZ002550,化学制药,化学制剂
SH688371,电子化学品,电子化学品
SZ301236,IT服务,IT服务
SH605338,食品加工制造,预加工食品
SZ002635,消费电子,消费电子零部件及组装
SZ301056,专用设备,楼宇设备
SZ000070,通信设备,通信线缆及配套
SZ300086,化学制药,化学制剂
SZ300684,电子化学品,电子化学品
SZ301300,橡胶制品,炭黑
SH688236,医疗器械,医疗耗材
SH688505,化学制药,化学制剂
SH688055,光学光电子,面板
SH688023,软件开发,横向通用软件
SZ002370,化学制药,化学制剂
SH603298,工程机械,工程机械
SZ300662,其他社会服务,专业服务
SH600673,综合,综合
SZ300903,元件,印制电路板
SH603991,半导体,半导体材料
SH605178,建筑装饰,装饰园林
SZ001339,计算机设备,其他计算机设备
SH600336,白色家电,冰洗
SZ300573,化学制药,化学制剂
SZ002827,化学制品,民爆用品
SH688200,半导体,半导体设备
SH688060,计算机设备,其他计算机设备
SH601138,消费电子,消费电子零部件及组装
SH603665,服装家纺,鞋帽及其他
SH688486,半导体,数字芯片设计
SH600362,工业金属,铜
SZ300596,化学制品,其他化学制品
SZ301387,消费电子,消费电子零部件及组装
SZ301123,消费电子,消费电子零部件及组装
SH688228,IT服务,IT服务
SH605008,塑料制品,其他塑料制品
SH688518,自动化设备,激光设备
SZ301286,化学制品,其他化学制品
SZ301365,建筑装饰,工程咨询服务
SH603083,通信设备,通信终端及配件
SZ301128,专用设备,其他专用设备
